Contig	ver. 6	ver. 7	Length
ctg7180000006180	LG1	LG1	717741
ctg7180000009829	LG1	LG1	236393.5
ctg7180000009829	LG1	LG1	236393.5
ctg7180000007702	LG1	LG1	1009412
ctg7180000007702	LG1	Rem. overl.	12506
ctg7180000007704	LG1	LG1	1443043
ctg7180000007704	LG1	Rem. overl.	14577
ctg7180000008358	LG1	LG1	2992281
ctg7180000007413	LG1	LG1	1304084
ctg7180000007413	LG1	Rem. overl.	18299
ctg7180000008346	LG1	LG1	41379
ctg7180000008346	LG1	Rem. overl.	13191
ctg7180000008793	LG1	LG1	347044
ctg7180000008793	LG1	Rem. overl.	24334
ctg7180000009041	LG1	LG1	171115
ctg7180000009041	LG1	Rem. overl.	22206
ctg7180000008344	LG1	LG1	90974
ctg7180000008134	LG1	LG1	910513
ctg7180000008134	LG1	Rem. overl.	7222
ctg7180000009532	LG1	LG1	145505
ctg7180000009532	LG1	Rem. overl.	6922
ctg7180000009530	LG1	LG1	1020554
ctg7180000009530	LG1	Rem. overl.	8473
ctg7180000009526	LG1	LG1	1466295
ctg7180000009526	LG1	Rem. overl.	7154
ctg7180000009521	LG1	LG1	2794615
ctg7180000010044	LG1	LG1	195028
ctg7180000010606	LG1	LG1	1320328
ctg7180000010606	LG1	Rem. overl.	12957
ctg7180000010605	LG1	LG1	6994856
ctg7180000010605	LG1	Rem. overl.	6068
ctg7180000010610	LG1	LG1	920192
ctg7180000010610	LG1	Rem. overl.	8830
ctg7180000005338	LG1	LG1	3211380
ctg7180000005338	LG1	Rem. overl.	7341
ctg7180000007582	LG1	LG1	90350
ctg7180000007582	LG1	Rem. overl.	16170
ctg7180000008945	LG1	LG1	60033
ctg7180000008945	LG1	Rem. overl.	17461
ctg7180000008873	LG1	LG1	241744
ctg7180000006178	LG1	LG1	189057
ctg7180000006178	LG1	Rem. overl.	6429
ctg7180000010276	LG1	LG1	277448
ctg7180000010276	LG1	Rem. overl.	9060
ctg7180000009319	LG1	LG1	151051
ctg7180000009319	LG1	Rem. overl.	14114
ctg7180000009321	LG1	LG1	669341
ctg7180000009321	LG1	Rem. overl.	11221
ctg7180000007840	LG2	LG2	886589
ctg7180000007840	LG2	Rem. overl.	5467
ctg7180000007842	LG2	LG2	914559
ctg7180000007842	LG2	Rem. overl.	5644
ctg7180000008220	LG2	LG2	1886909
ctg7180000008220	LG2	Rem. overl.	27047
ctg7180000008736	LG2	LG2	265751
ctg7180000008736	LG2	Rem. overl.	8671
ctg7180000005819	LG2	LG2	527139
ctg7180000005819	LG2	Rem. overl.	5666
ctg7180000007332	LG2	LG2	398172
ctg7180000007332	LG2	Rem. overl.	12718
ctg7180000007928	LG2	LG2	359648
ctg7180000007928	LG2	Rem. overl.	9829
ctg7180000008098	LG2	LG2	78372
ctg7180000008098	LG2	Rem. overl.	6216
ctg7180000005501	LG2	LG2	1491206
ctg7180000008598	LG2	LG2	54086
ctg7180000008598	LG2	Rem. overl.	5153
ctg7180000007131	LG2	LG2	298900
ctg7180000007131	LG2	Rem. overl.	5069
ctg7180000010601	LG2	LG2	895741
ctg7180000010601	LG2	Rem. overl.	9241
ctg7180000010587	LG2	LG2	101686
